050200,Oprema in nadomestni deli - popravek vrednosti oslabitev
051,POPRAVEK VREDNOSTI DROBNEGA INVENTARJA
051000,Popravek vrednosti drobnega inventarja
052,OSLABITEV VREDNOSTI OPREME IN NADOMESTNIH DELOV
053,POPRAVEK VREDNOSTI  BIOLOŠKIH SREDSTEV - VEČLETNIH NASADOV ZARADI AMORTIZIRANJA
053000,Popravek vrednosti večletnih nasadov
054,POPRAVEK VREDNOSTI BIOLOŠKIH SREDSTEV - OSNOVNE ČREDE ZARADI AMORTIZIRANJA
054000,Popravek vrednosti osnovne črede
055,POPRAVEK VREDNOSTI DRUGIH OPREDMETENIH OSNOVNIH SREDSTEV ZARADI AMORTIZIRANJA
055000,Popravek vrednosti drugih opredmetenih osnovnih sredstev
056,POPRAVEK VREDNOSTI VLAGANJ V OPREDMETENA OSNOVNA SREDSTVA V TUJI LASTI
058,OSLABITEV VREDNOSTI BIOLOŠKIH SREDSTEV
059,POPRAVEK VREDNOSTI OPREME IN DRUGIH OS 
059000,Popravek vrednosti opreme in drugih OS
06,"DOLGOROčNE FINANčNE NALOŽBE, RAZEN POSOJIL"
060,"DOLGOROČNOE FINANČNE NALOŽBE V DELNICE IN DELEŽE ORGANIZACIJ V SKUPINI, RAPOREJENE IN IZMERJENE PO NABAVNI VREDNOSTI"
063,"DOLGOROČNE FINANČNE NALOŽBE V DELNICE IN DELEŽE PRIDRUŽENIH ORGANIZACIJ IN SKUPAJ OBVLADUJOČIH ORGANIZACIJ, RAZPOREJENE IN IZMERJENE PO NABAVNI VREDNOSTI"
066,"DRUGE DOLGOROčNE FINANčNE NALOŽBE , RAZPOREJENE IN IZMERJENE PO NABAVNI VREDNOSTI"
067,"DRUGE DOL.FIN.NAL., POSL.IZID"
068,FRUGE DOLG. FINANČNE NALOŽBE PREK KAPITALA OZ. LASTNEGA VIRA SREDSTEV
068000,popravek vrednosti dolg.fin.naložb v kapital - okrepitev
069,OSLABITEV VREDNOSTI DOLGOROČNIH FINANČNIH NALOŽB
07,DOLGOROČNO DANA POSOJILA IN TERJATVE ZA NEVPLAANI VPOKLICAN KAPITAL
070,"DOLGOROČNA POSOJILA , DANA NA PODLAGI POSOJILNIH POGODB ORGANIZACIJAM V SKUPINI, VKLJUČNO Z DOLG. TERJATVAMI IZ FINANČNEGA NAJEMA"
070000,"Dolgoročna posojila podjetjem v skupini, vključno z dolgoročnimi terjatvami iz finančnega najema"
071,"DOLGOROčNA POSOJILA ORGANIZACIJAM, VKLJUčNO Z DOLGOROčNIMI TERJATVAMI IZ FINANčNEGA NAJEMA"
071000,"Dolgoročna posojilaorganizacijam, vključno z dolgoročnimi terjatvami iz finančnega najema"
072,"Dolgoročna posojila dana drugim, vključno z dolgoročnimi terjatvami iz finančnega najema"
072000,"Dolgoročna posojila dana drugim, vključno z dolgoročnimi terjatvami iz finančnega najema"
073,DOLG. DANA POSOJILA Z ODKUPOM OBVEZNIC OD PODJETIJ V SKUPINI
073000,Dolg. dana posojila z odkupom obveznic od podjetij v skupini
074,DOLG. DANA POSOJILA Z ODKUPOM OBVEZNIC OD PRIDRUŽENIH ORGANIZACIJ IN SKUPAJ OBVLADAJOČIH ORGANIZACIJ
074000,DOLG. DANA POSOJILA Z ODKUPOM OBVEZNIC OD PRIDRUŽENIH ORGANIZACIJ IN SKUPAJ OBVLADAJOČIH ORGANIZACIJ
075,DOLG. DANA POSOJILA Z ODKUPOM OBVEZNIC DRUGIH 
075000,Dolg. dana posojila z odkupom obveznic drugih 
076,DOLGOROčNE TERJATVE ZA NEVPLAČANI VPOKLICANI KAPITAL
076000,Dolgoročne terjatve za nevplačani vpoklicani kapital
077,DRUGA DOLGOROČNO VLOŽENA SREDSTVA
077000,Druga dolgoročno vložena sredstva
078,DANI DOLGOROČNI DEPOZITI
078000,Dolgoročni dani depoziti
079,OSLABITEV VREDNOSTI DOLGOROčNIH DANIH POSOJIL 
079000,Popravek vrednosti dolgoročnih danih posojil - oslabitev
08,DOLGOROČNE POSLOVNE TERJATVE
080,"DOLGOROčNI BLAGOVNI KREDITI, DANI V DRŽAVI"
080000,"Dolgoročni blagovni krediti, dani v državi"
081,"DOLGOROčNI BLAGOVNI KREDITI, DANI V TUJINI"
081000,"Dolgoročni blagovni krediti, dani v tujini"
082,DOLGOROčNI DANI POTROŠNIŠKI KREDITI
082000,Dolgoročni dani potrošniški krediti
083,DOLGOROčNO DANI PREDUJMI 
083000,Dolgoročno dani predujmi (za več kot 1 leto)
084,Dolgoročno dane varščine
084000,Dolgoročno dane varščine
086,DRUGE DOLGOROčNE TERJATVE IZ POSLOVANJA
086000,Druge dolgoročne terjatve iz poslovanja
089,OSLABITEV VREDNOSTI DOLG. POSLOVNIH TERJATEV
089000,Popravek vrednosti dolg. terjatev iz poslovanja - oslabitev
09,ODLOŽENE TERJATVE ZA DAVEK
090,TERJATVE ZA ODLOŽENI DAVEK IZ ODBITNIH ZAČASNIH RAZLIK
091,"ODLOŽENE TERJATVE ZA DAVEK IZ NEIRABLJENIH DAVČNIH IZGUB, PRENESENIH V NASLEDNJA DAVČNA OBDOBJA"
092,"ODLOŽENE TERJATVE ZA DAVEK IZ DAVČNIH DOBROPISOV, PRENESENIH V NASLEDNJA DAVČNA OBDOBJA"
1,"KRATKOROčNA SREDSTVA, RAZEN ZALOG IN AČR"
10,DENARNA SREDSTVA V BLAGAJNI IN TAKOJ UNOVčLJIVE VREDNOSTNICE
100,DENARNA SREDSTVA V BLAGAJNI
100000,DENARNA SREDSTVA V BLAGAJNI
101,DEVIZNA SREDSTVA V BLAGAJNI
101000,Devizna sredstva v blagajni
102,IZDANI čEKI (ODBITNA POSTAVKA)
102000,Izdani čeki (odbitna postavka)
103,PREJETI čEKI
103000,Prejeti čeki
104,NETVEGANI TAKOJ UNOVČLJIVE VREDNOSTNICE
104000,NETVEGANI TAKOJ UNOVČLJIVE VREDNOSTNICE
109,DENAR NA POTI
109000,Denar na poti
11,DOBROIMETJE PRI BANKAH IN DRUGIH FINANčNIH INŠTITUCIJAH
110,DENARNA SREDSTVA NA RAČUNIH
110000,Denarna sredstva na računu Probanka
110200,Prehodni konto za nerazporejena plačila
110900,Prehodni konto
111,"KRATKOROČNI DEPOZITI NA ODPOKLIC, TAZEN DEVIZNIH"
111000,Kratkoročnii depoziti na odpoklic
112,DEVIZNA SREDSTVA NA RAčUNIH
112000,Devizni sredstva na računih
113,DEVIZNI DEPOZITI NA ODPOKLIC
113000,Devizni depoziti na odpoklic
114,DENARNA SREDSTVA NA POSEBNIH RAčUNIH OZIROMA ZA POS. NAMENE
114000,Denarna sredstva na posebnih računih oziroma za pos. namene
114001,Druga denarna sredstva - BONI
12,KRATKOROčNE TERJATVE DO KUPCEV
120,KRATKOROčNE TERJATVE DO KUPCEV V DRŽAVI
120000,Kratkoročne terjatve do kupcev v državi
120900,Sporne in dvomljive terjatve
121,KRATKOROčNE TERJATVE DO KUPCEV V TUJINI
121000,Kratkoročne terjatve do kupcev v tujini
122,"KRATKOROčNI BLAGOVNI KREDITI, DANI KUPCEM V DRŽAVI"
122000,"Kratkoročni blagovni krediti, dani kupcem v državi"
123,"KRATKOROčNI BLAGOVNI KREDITI, DANI KUPCEM V TUJINI"
123000,"Kratkoročni blagovni krediti, dani kupcem v tujini"
124,"KRATKOROčNI POTROŠNIŠKI KREDITI, DANI KUPCEM V DRŽAVI"
124000,"Kratkoročni potrošniški krediti, dani kupcem v državi"
125,KRATKOROČNE TERJATVE DO ČLANOV
126 ,KRATKOROČNE TERJATVE ZA NERAČUNANO BLAGO IN STORITVE
129,OSLABITEV VREDNOSTI KRATK. TERJATEV DO KUPCEV - OSLABITEV
129000,Oslabitev  vrednosti kratk. terjatev do kupcev - oslabitev
13,KRATKOROčNI DANI PREDUJMI IN VARŠčINE
130,"KRATKOROčNI PREDUJMI, DANI ZA OPREDMETENA OSNOVNA SREDSTVA"
130000,"Kratkoročni predujmi, dani za obratna sredstva"
130200,"Kratkoročni predujmi, dani za opremo"
131,"KRATKOROčNI PREDUJMI, DANI ZA NEOPREDMETENA OSNOVNA SREDSTVA"
131000,"Kratkoročni predujmi, dani za neopredmetena dolgoročna sred."
132,"KRATKOROčNI PREDUJMI, DANI ZA ZALOGE MATERIALA IN STORITVE"
132000,"Kratkoročni predujmi, dani za zaloge materiala in storitve"
132100,"Kratkoročni predujmi, dani za zaloge domačim dobaviteljem"
132200,"Kratkoročni predujmi, dani za zaloge tujim dobaviteljem"
133,DRUGI KRATKOROčNI DANI PREDUJMI IN PREPLAČILA
133000,Drugi kratkoročni dani predujmi in preplačila
134,KRATKOROčNE DANE VARŠčINE
134000,Kratkoročne dane varščine
139,OSLABITEV VREDNOSTI KRAT.DANIH PREDUJMOV IN VARŠčIN-OSLABITEV
139000,OSLABITEV VREDNOSTI KRAT.DANIH PREDUJMOV IN VARŠčIN-OSLABITEV
14,KRATKOROčNE TERJATVE IZ POSLOVANJA ZA TUJ RAčUN
140,KRATKOROčNE TERJATVE DO IZVOZNIKOV
140000,Kratkoročne terjatve do izvoznikov
141,KRATKOROčNE TERJATVE IZ UVOZA ZA TUJ RAčUN
141000,Kratkoročne terjatve iz uvoza za tuj račun
142,KRATKOROčNE TERJATVE IZ KOMISIJSKE IN KONSIGNACIJSKE PRODAJE
142000,Kratkoročne terjatve iz komisijske in konsignacijske prodaje
145,DRUGE KRATKOROčNE TERJATVE IZ POSLOVANJA ZA TUJ RAčUN
145000,Druge kratkoročne terjatve iz poslovanja za tuj račun
149,OSLABITEV VREDNOSTI KRAT.TERJ. IZ POS.ZA TUJ RAč.-OSLABITEV
149000,OSLABITEV VREDNOSTI KRAT.TERJ. IZ POS.ZA TUJ RAč.-OSLABITEV
15,"KRATKOROčNE TERJATVE, POVEZANE S FINANčNIMI PRIHODKI"
150,KRATKOROčNE TERJATVE ZA OBRESTI
150000,Kratkoročne terjatve za obresti po depozitu
150002,Terjatve za obresti od kratkoročnih posojil
151,KRATKOROčNE TERJATVE IZ NASLOVA DIVIDEND
151000,Kratkoročne terjatve iz naslova dividend
152,KRATKOROčNE TERJATVE IZ NASLOVA DRUGIH DELEŽEV V DOBIčKU
152000,Kratkoročne terjatve iz naslova drugih deležev v dobičku
155,"DRUGE KRATKOROčNE TERJATVE, POVEZANE S FINANčNIMI PRIHODKI"
155000,"Druge kratkoročne terjatve, povezane s finančnimi prihodki"
159,OSLABITEV VREDNOSTI KRAT.TERJATEV IZ FIN.PRIH.-OSLABITEV
159000,OSLABITEV VREDNOSTI KRAT.TERJATEV IZ FIN.PRIH.-OSLABITEV
16,DRUGE KRATKOROčNE TERJATVE
160,KRATKOROČNE TERJATVE ZA VSTOPNI DDV
160000,Terjatve za vstopni DDV
160010,DDV po osnovni stopnji
160011,Terjatve za preveč plačan davek od dobička
160020,DDV po znižani stopnji
160090,DDV po pavšalni stopnji
160100,Terjatve za preveč plačane  prispevke plače
160110,DDV po osnovni stopnji od predplačil
160120,DDV po znižani stopnji od predplačil
160200,Terjatve do ZZZS – boleznine in nege
160210,"DDV po osnovni stopnji, ki se ne refundira"
160220,"DDV po znižani stopnji, ki se ne refundira"
160300,Terjatve do minist.za obrambo-orožne vaje
160310,DDV po osnovni stopnji še nepriznan
160320,DDV po znižani stopnji še nepriznan
160390,DDV po pavšalni stopnji  še nepriznan
160410,DDV iz EU po osnovni stopnji
160420,DDV iz EU po znižani stopnji
160450,DDV od nerezidentov po osnovni stopnji
160460,DDV od nerezidentov po znižani stopnji
160470,DDV iz EU po osnovni stopnji še nepriznan
160480,DDV iz EU po znižani stopnji še nepriznan
160500,Terjatve do države za DDV fiz.oseb
160600,Terjatev za preveč plačan davek od dobička
160700,Terjatev za vračilo razlike med vstopnim in obrač.DDV
160800,Terjatev za vračilo DDV po obračunu
160810,Terjatev za preveč plačan DDV
160900,Terjatev za trošarino
161," KRATKOROčNE TERJATVE ZA DAVEK OD DOHODKOV PRAVNIH OSEB, VKLJUČNO Z DAVKOM PLAČANIM V TUJINI"
161000,Akontacija davka od dobička
161500,Terjatve do sklada za izobraževanje delavcev
162,"KRATKOROČNE   TERJATVE ZA DOHODNINO OD DOHODKA IZ DEJAVNOSTI S.P., VKLJUČNO Z DAVKOM PLAČANIM V TUJINI"
164,DRUGE KRATKOROČNE TERJATVE DO DRŽAVNIH INŠTITUCIJ
164000,Terjatve za refundacije
165,OSTALE KRATKOROčNE TERJATVE
165000,Ostale kratkoročne terjatve
16501,Terjatve do zaposlenih iz naslova predujmov za potne stroške
165100,Ostale kratkoročne terjatve - čeki
165200,Ostale kratkoročne terjatve - kartice
165300,Ostale kratkoročne terjatve do delavcev (tudi pot.stroški)
165400,Ostale kratkoročne terjatve do lastnika
165500,Ostale kratkoročne terjatve iz poslovanja
165700,Terjatve iz naslova CESIJ
165800,Terjatve iz naslova ASIGNACIJ
166,"TERJATVE ZA DDV, VRNJEN TUJCEM"
166000,"Terjatve za DDV, vrnjen tujcem"
